Test,Prediksi,,,Test,Prediksi
12,12,,,T,T
5,5,,,H,H
7,7,,,M,M
4,4,,,G,G
10,10,,,Q,Q
9,9,,,P,P
1,1,,,B,B
0,0,,,A,A
8,8,,,N,N
4,4,,,G,G
8,8,,,N,N
12,12,,,T,T
9,9,,,P,P
2,2,,,D,D
6,6,,,K,K
15,15,,,Y,Y
2,2,,,D,D
11,11,,,S,S
4,4,,,G,G
10,10,,,Q,Q
1,1,,,B,B
3,3,,,F,F
9,9,,,P,P
12,12,,,T,T
1,1,,,B,B
7,7,,,M,M
12,12,,,T,T
9,9,,,P,P
5,5,,,H,H
8,8,,,N,N
6,6,,,K,K
7,7,,,M,M
5,5,,,H,H
15,15,,,Y,Y
6,6,,,K,K
7,7,,,M,M
14,14,,,X,X
13,13,,,W,W
7,7,,,M,M
2,2,,,D,D
6,6,,,K,K
0,0,,,A,A
14,14,,,X,X
5,5,,,H,H
10,10,,,Q,Q
3,3,,,F,F
0,0,,,A,A
7,7,,,M,M
14,14,,,X,X
1,1,,,B,B
2,2,,,D,D
15,15,,,Y,Y
0,0,,,A,A
14,14,,,X,X
13,13,,,W,W
3,3,,,F,F
4,4,,,G,G
3,3,,,F,F
7,7,,,M,M
15,15,,,Y,Y
12,12,,,T,T
14,14,,,X,X
1,1,,,B,B
15,15,,,Y,Y
5,5,,,H,H
7,7,,,M,M
2,2,,,D,D
14,14,,,X,X
5,5,,,H,H
14,14,,,X,X
15,15,,,Y,Y
4,4,,,G,G
15,15,,,Y,Y
1,1,,,B,B
5,5,,,H,H
14,14,,,X,X
4,4,,,G,G
8,8,,,N,N
10,10,,,Q,Q
5,5,,,H,H
5,5,,,H,H
13,13,,,W,W
11,11,,,S,S
1,1,,,B,B
0,0,,,A,A
1,1,,,B,B
4,4,,,G,G
8,8,,,N,N
12,12,,,T,T
14,14,,,X,X
13,13,,,W,W
15,15,,,Y,Y
1,1,,,B,B
2,2,,,D,D
11,11,,,S,S
8,8,,,N,N
5,5,,,H,H
12,12,,,T,T
4,4,,,G,G
1,1,,,B,B
12,12,,,T,T
6,6,,,K,K
8,8,,,N,N
11,11,,,S,S
3,3,,,F,F
7,7,,,M,M
14,14,,,X,X
15,15,,,Y,Y
15,15,,,Y,Y
8,8,,,N,N
0,0,,,A,A
14,14,,,X,X
9,9,,,P,P
2,2,,,D,D
12,12,,,T,T
9,9,,,P,P
13,13,,,W,W
13,13,,,W,W
13,13,,,W,W
9,9,,,P,P
13,13,,,W,W
4,4,,,G,G
10,10,,,Q,Q
10,10,,,Q,Q
4,4,,,G,G
3,3,,,F,F
14,14,,,X,X
1,1,,,B,B
5,5,,,H,H
6,6,,,K,K
14,14,,,X,X
5,5,,,H,H
2,2,,,D,D
2,2,,,D,D
0,0,,,A,A
0,0,,,A,A
13,13,,,W,W
8,8,,,N,N
15,15,,,Y,Y
12,12,,,T,T
8,8,,,N,N
1,1,,,B,B
12,12,,,T,T
12,12,,,T,T
10,10,,,Q,Q
13,13,,,W,W
0,0,,,A,A
11,11,,,S,S
12,12,,,T,T
10,10,,,Q,Q
7,7,,,M,M
0,0,,,A,A
2,2,,,D,D
6,6,,,K,K
10,10,,,Q,Q
5,5,,,H,H
9,9,,,P,P
11,11,,,S,S
13,13,,,W,W
10,10,,,Q,Q
12,12,,,T,T
4,4,,,G,G
15,15,,,Y,Y
8,8,,,N,N
8,8,,,N,N
4,4,,,G,G
7,7,,,M,M
0,0,,,A,A
8,8,,,N,N
2,2,,,D,D
14,14,,,X,X
3,3,,,F,F
4,4,,,G,G
15,15,,,Y,Y
15,15,,,Y,Y
14,14,,,X,X
4,4,,,G,G
3,3,,,F,F
6,6,,,K,K
13,13,,,W,W
11,11,,,S,S
7,7,,,M,M
14,14,,,X,X
15,15,,,Y,Y
11,11,,,S,S
12,12,,,T,T
14,14,,,X,X
7,7,,,M,M
11,11,,,S,S
2,2,,,D,D
14,14,,,X,X
6,6,,,K,K
11,11,,,S,S
2,2,,,D,D
9,9,,,P,P
15,15,,,Y,Y
11,11,,,S,S
3,3,,,F,F
0,0,,,A,A
4,4,,,G,G
4,4,,,G,G
14,14,,,X,X
13,13,,,W,W
3,3,,,F,F
0,0,,,A,A
7,7,,,M,M
9,9,,,P,P
10,10,,,Q,Q
5,5,,,H,H
8,8,,,N,N
7,7,,,M,M
10,10,,,Q,Q
9,9,,,P,P
10,10,,,Q,Q
14,14,,,X,X
6,6,,,K,K
13,13,,,W,W
10,10,,,Q,Q
7,7,,,M,M
1,1,,,B,B
13,13,,,W,W
4,4,,,G,G
1,1,,,B,B
14,14,,,X,X
3,3,,,F,F
0,0,,,A,A
5,5,,,H,H
9,9,,,P,P
1,1,,,B,B
7,7,,,M,M
13,13,,,W,W
10,10,,,Q,Q
1,1,,,B,B
14,14,,,X,X
13,13,,,W,W
7,7,,,M,M
1,1,,,B,B
7,7,,,M,M
11,11,,,S,S
5,5,,,H,H
4,4,,,G,G
6,6,,,K,K
2,2,,,D,D
6,6,,,K,K
9,9,,,P,P
12,12,,,T,T
8,8,,,N,N
15,15,,,Y,Y
12,12,,,T,T
2,2,,,D,D
14,14,,,X,X
5,5,,,H,H
13,13,,,W,W
2,2,,,D,D
15,15,,,Y,Y
3,3,,,F,F
10,10,,,Q,Q
15,15,,,Y,Y
4,4,,,G,G
9,9,,,P,P
3,3,,,F,F
12,12,,,T,T
1,1,,,B,B
3,3,,,F,F
3,3,,,F,F
12,12,,,T,T
0,0,,,A,A
2,2,,,D,D
3,3,,,F,F
9,9,,,P,P
12,12,,,T,T
3,3,,,F,F
1,1,,,B,B
9,9,,,P,P
5,5,,,H,H
11,11,,,S,S
11,11,,,S,S
8,8,,,N,N
0,0,,,A,A
0,0,,,A,A
3,3,,,F,F
11,11,,,S,S
9,9,,,P,P
13,13,,,W,W
6,6,,,K,K
10,10,,,Q,Q
15,15,,,Y,Y
4,4,,,G,G
2,2,,,D,D
7,7,,,M,M
10,10,,,Q,Q
2,2,,,D,D
1,1,,,B,B
11,11,,,S,S
13,13,,,W,W
14,14,,,X,X
12,12,,,T,T
3,3,,,F,F
14,14,,,X,X
6,6,,,K,K
7,7,,,M,M
7,7,,,M,M
13,13,,,W,W
14,14,,,X,X
14,14,,,X,X
0,0,,,A,A
1,1,,,B,B
12,12,,,T,T
11,11,,,S,S
12,12,,,T,T
11,11,,,S,S
15,15,,,Y,Y
0,0,,,A,A
0,0,,,A,A
13,13,,,W,W
8,8,,,N,N
5,5,,,H,H
14,14,,,X,X
14,14,,,X,X
3,3,,,F,F
14,14,,,X,X
3,3,,,F,F
13,13,,,W,W
3,3,,,F,F
4,4,,,G,G
2,2,,,D,D
4,4,,,G,G
5,5,,,H,H
4,4,,,G,G
8,8,,,N,N
9,9,,,P,P
12,12,,,T,T
6,6,,,K,K
3,3,,,F,F
6,6,,,K,K
0,0,,,A,A
6,6,,,K,K
1,1,,,B,B
5,5,,,H,H
12,12,,,T,T
5,5,,,H,H
7,7,,,M,M
5,5,,,H,H
10,10,,,Q,Q
1,1,,,B,B
4,4,,,G,G
7,7,,,M,M
5,5,,,H,H
5,5,,,H,H
14,14,,,X,X
1,1,,,B,B
13,13,,,W,W
15,15,,,Y,Y
1,1,,,B,B
5,5,,,H,H
7,7,,,M,M
13,13,,,W,W
12,12,,,T,T
14,14,,,X,X
6,6,,,K,K
14,14,,,X,X
6,6,,,K,K
9,9,,,P,P
5,5,,,H,H
11,11,,,S,S
7,7,,,M,M
10,10,,,Q,Q
1,1,,,B,B
4,4,,,G,G
13,13,,,W,W
1,1,,,B,B
11,11,,,S,S
13,13,,,W,W
